Class, Fan-In
org/jfree/chart/axis/LogAxis,0
org/jfree/data/Value,0
org/jfree/data/xy/DefaultWindDataset,0
org/jfree/chart/renderer/RendererState,0
org/jfree/data/time/TimeTableXYDataset,0
org/jfree/data/general/PieDataset,0
org/jfree/chart/block/GridArrangement,0
org/jfree/chart/renderer/category/package-info,0
org/jfree/chart/renderer/category/DefaultCategoryItemRenderer,0
org/jfree/chart/plot/FastScatterPlot,0
org/jfree/data/time/TimePeriodValuesCollection,0
org/jfree/data/xy/CategoryTableXYDataset,0
org/jfree/chart/plot/dial/DialPlot,0
org/jfree/chart/util/DirectionalGradientPaintTransformer,0
org/jfree/data/general/HeatMapDataset,0
org/jfree/data/xy/Vector,0
org/jfree/data/xy/DefaultOHLCDataset,0
org/jfree/data/time/Millisecond,0
org/jfree/chart/block/LabelBlock,0
org/jfree/data/xml/PieDatasetHandler,0
org/jfree/chart/plot/DefaultDrawingSupplier,0
org/jfree/data/gantt/SlidingGanttCategoryDataset,0
org/jfree/chart/renderer/xy/GradientXYBarPainter,0
org/jfree/chart/block/BlockBorder,0
org/jfree/chart/plot/CategoryMarker,0
org/jfree/chart/block/package-info,0
org/jfree/data/statistics/Statistics,0
org/jfree/chart/axis/CompassFormat,0
org/jfree/chart/axis/package-info,0
org/jfree/chart/renderer/category/StackedAreaRenderer,0
org/jfree/chart/plot/Crosshair,0
org/jfree/chart/axis/SymbolAxis,0
org/jfree/data/xy/MatrixSeriesCollection,0
org/jfree/data/xy/XYDataItem,0
org/jfree/chart/swing/editor/ChartEditorManager,0
org/jfree/data/category/DefaultCategoryDataset,0
org/jfree/data/general/Dataset,0
org/jfree/data/time/ohlc/OHLC,0
org/jfree/chart/axis/CategoryTick,0
org/jfree/chart/swing/editor/package-info,0
org/jfree/chart/labels/StandardPieSectionLabelGenerator,0
module-info,0
org/jfree/data/function/NormalDistributionFunction2D,0
org/jfree/chart/swing/ChartMouseEvent,0
org/jfree/chart/event/ChartChangeEventType,0
org/jfree/chart/entity/PlotEntity,0
org/jfree/chart/swing/editor/DefaultAxisEditor,0
org/jfree/chart/entity/PieSectionEntity,0
org/jfree/chart/axis/Axis,0
org/jfree/data/time/RegularTimePeriod,0
org/jfree/chart/plot/Plot$1,0
org/jfree/data/general/HeatMapUtils,0
org/jfree/data/RangeType,0
org/jfree/data/resources/DataPackageResources_fr,0
org/jfree/chart/swing/editor/LCBLayout,0
org/jfree/chart/axis/PeriodAxisLabelInfo,0
org/jfree/chart/api/RectangleInsets,0
org/jfree/chart/urls/StandardXYURLGenerator,0
org/jfree/chart/renderer/category/BarRenderer,0
org/jfree/chart/renderer/xy/package-info,0
org/jfree/chart/renderer/xy/XYDotRenderer,0
org/jfree/chart/text/format/RelativeDateFormat,0
org/jfree/chart/renderer/category/LineAndShapeRenderer,0
org/jfree/chart/block/ColumnArrangement,0
org/jfree/chart/plot/compass/MiddlePinNeedle,0
org/jfree/chart/renderer/xy/XYSplineRenderer,0
org/jfree/data/resources/DataPackageResources_es,0
org/jfree/chart/date/MonthConstants,0
org/jfree/chart/event/PlotChangeEvent,0
org/jfree/data/xy/DefaultXYDataset,0
org/jfree/chart/labels/BoxAndWhiskerToolTipGenerator,0
org/jfree/chart/urls/StandardCategoryURLGenerator,0
org/jfree/data/resources/DataPackageResources_de,0
